"iso_code","continent","date","country","new_deaths","new_cases","new_tests","population","life_expectancy","C1_School.closing","C2_Workplace.closing","C3_Cancel.public.events","C4_Restrictions.on.gatherings","C4_Restrictions.on.gatherings.1","C5_Close.public.transport","C6_Stay.at.home.requirements","C7_Restrictions.on.internal.movement","C8_International.travel.controls","H1_Public.information.campaigns","H6_Facial.Coverings","E1_Income.support","driving","walking","transit","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline"
"AUT","Europe",2020-01-23,"Austria",0,0,NA,9006400,81.54,0,0,0,0,0,0,0,0,0,0,0,0,107.89,110.89,NA,NA,NA,NA,NA,NA,NA
"AUT","Europe",2020-01-24,"Austria",0,0,NA,9006400,81.54,0,0,0,0,0,0,0,0,0,0,0,0,123.67,132.87,NA,NA,NA,NA,NA,NA,NA
"AUT","Europe",2020-01-25,"Austria",0,0,NA,9006400,81.54,0,0,0,0,0,0,0,0,0,0,0,0,119.39,136.57,NA,NA,NA,NA,NA,NA,NA
"AUT","Europe",2020-01-26,"Austria",0,0,NA,9006400,81.54,0,0,0,0,0,0,0,0,0,0,0,0,105.55,92.99,NA,NA,NA,NA,NA,NA,NA
"AUT","Europe",2020-01-27,"Austria",0,0,NA,9006400,81.54,0,0,0,0,0,0,0,0,0,0,0,0,104.42,105.8,NA,NA,NA,NA,NA,NA,NA
"AUT","Europe",2020-01-28,"Austria",0,0,NA,9006400,81.54,0,0,0,0,0,0,0,0,0,0,0,0,106.42,105.38,NA,NA,NA,NA,NA,NA,NA
"AUT","Europe",2020-01-29,"Austria",0,0,NA,9006400,81.54,0,0,0,0,0,0,0,0,0,0,0,0,106.1,107.8,NA,NA,NA,NA,NA,NA,NA
"AUT","Europe",2020-01-30,"Austria",0,0,NA,9006400,81.54,0,0,0,0,0,0,0,0,0,0,0,0,108.47,113.19,NA,NA,NA,NA,NA,NA,NA
"AUT","Europe",2020-01-31,"Austria",0,0,NA,9006400,81.54,0,0,0,0,0,0,0,0,0,0,0,0,125.62,132.21,NA,NA,NA,NA,NA,NA,NA
"AUT","Europe",2020-02-01,"Austria",0,0,NA,9006400,81.54,0,0,0,0,0,0,0,0,0,0,0,0,134.87,148.15,NA,NA,NA,NA,NA,NA,NA
"AUT","Europe",2020-02-02,"Austria",0,0,NA,9006400,81.54,0,0,0,0,0,0,0,0,0,0,0,0,109.33,101.66,NA,NA,NA,NA,NA,NA,NA
"AUT","Europe",2020-02-03,"Austria",0,0,NA,9006400,81.54,0,0,0,0,0,0,0,0,0,0,0,0,109.04,106.52,NA,NA,NA,NA,NA,NA,NA
"AUT","Europe",2020-02-04,"Austria",0,0,NA,9006400,81.54,0,0,0,0,0,0,0,0,0,0,0,0,107.88,106.85,NA,NA,NA,NA,NA,NA,NA
"AUT","Europe",2020-02-05,"Austria",0,0,NA,9006400,81.54,0,0,0,0,0,0,0,0,0,0,0,0,110.15,105.75,NA,NA,NA,NA,NA,NA,NA
"AUT","Europe",2020-02-06,"Austria",0,0,NA,9006400,81.54,0,0,0,0,0,0,0,0,0,0,0,0,107.4,106.66,NA,NA,NA,NA,NA,NA,NA
"AUT","Europe",2020-02-07,"Austria",0,0,NA,9006400,81.54,0,0,0,0,0,0,0,0,0,0,0,0,127.94,126.55,NA,NA,NA,NA,NA,NA,NA
"AUT","Europe",2020-02-08,"Austria",0,0,NA,9006400,81.54,0,0,0,0,0,0,0,0,0,0,0,0,146.79,142.55,NA,NA,NA,NA,NA,NA,NA
"AUT","Europe",2020-02-09,"Austria",0,0,NA,9006400,81.54,0,0,0,0,0,0,0,0,0,0,0,0,116.74,103.86,NA,NA,NA,NA,NA,NA,NA
